Category,Query
Dealership,"For car _id 22, show its sales records and all its inventory snapshot dates."
Dealership,How many cars of each make are currently in inventory?
Dealership,List salespersons who have a termination date.
Dealership,"List all cars with their make, model, year, and cost."
Dealership,"Get details for car _id 77: VIN, engine type, transmission, and color."
Dealership,Show all 'Toyota' cars with a 'Hybrid' engine_type.
Dealership,"Retrieve all sales records, including car_id, salesperson_id, customer_id, sale_price, and sale_date."
Dealership,List sales made in October 2023.
Dealership,"Which cars (make, model) were sold by salesperson_id 11?"
Dealership,Find the email and phone number for salesperson 'Michael Scott'.
Dealership,List all salespersons who were hired before 2020 and have no termination_date.
Dealership,"Show all customers with their full names and addresses (address, city, state, zip_code)."
Dealership,"Get the purchase history (car make, model, sale date) for customer_id 202."
Dealership,Which customers from 'California' (state) purchased a 'Tesla'?
Dealership,"List all payments made by the dealership, including vendor_name, payment_date, and payment_amount."
Dealership,Show payments made for invoice number 'INV-2023-005'.
Dealership,"Retrieve all payments received from customers, showing sale_id, payment_date, and payment_amount."
Dealership,List payments received via 'Credit Card' for sales made by salesperson_id 3.
Dealership,"For sale_id 88, what car was sold (make, model), who was the salesperson (name), and who was the customer (name)?"
Dealership,"Show the inventory snapshot details (snapshot_date, is_in_inventory) for car_id 33."
Dealership,List all cars that are currently marked as 'is_in_inventory = true' from the latest snapshot for each car.
Dealership,What is the total sale_price amount for each salesperson in the last quarter?
Dealership,Which salesperson had the highest average sale price in 2023?
Dealership,"List all cars with 'Manual' transmission and a 'Gasoline' engine, sorted by year."
Dealership,"For each car make, what is the average cost?"
Dealership,Show customers who have purchased cars of more than two different makes.
Dealership,What is the average time a car stays in inventory before being sold?
Dealership,List all sales where the payment received (total from PaymentsReceived for that sale_id) is less than the sale_price.
DermTreatment,"List all doctors, their specialities, and registration years."
DermTreatment,"Find the doctor with doc_id 22 and their location (city, state, zip)."
DermTreatment,What medical school did Dr. 'House' (last_name) attend?
DermTreatment,Show all patients registered between '2021-01-01' and '2021-12-31'.
DermTreatment,Find the patient with email 'sick.patient@clinic.com' and their date of birth.
DermTreatment,List all drugs manufactured by 'MediLife Inc.' and their drug types.
DermTreatment,What is the FDA approval date and administration route for the drug 'Miraculin'?
DermTreatment,Show all diagnoses containing the term 'dermatitis'.
DermTreatment,"List all treatments including patient_id, doc_id, drug_id, and diag_id."
DermTreatment,"Find treatment details (start/end date, total drug amount) for treatment_id 2020."
DermTreatment,What treatments were prescribed by doctor ID 33?
DermTreatment,"Which treatments did patient ID 44 receive, and what were the drugs involved?"
DermTreatment,List treatments that used drug ID 55 and the diagnoses they were for.
DermTreatment,"Show treatments for diagnosis ID 66, including the doctors who prescribed them."
DermTreatment,"Retrieve outcome records (day7_lesion_cnt, day30_pasi_score) for treatment ID 2021."
DermTreatment,"What concomitant medications (med_name, dose_amt) were recorded for treatment ID 2022?"
DermTreatment,"List all adverse events (description, reported_dt) for treatment ID 2023."
DermTreatment,Which patients were treated by Dr. 'Gregory House' for 'Lupus' (diag_name)?
DermTreatment,Which doctors prescribed the drug with NDC '12345-678-90'?
DermTreatment,"What drugs are used for treating 'Rosacea' (diag_name), and what are their typical dosages?"
DermTreatment,List patients from 'CA' (addr_state) who received a placebo treatment.
DermTreatment,"For treatment ID 99, list the patient's full name, doctor's full name, drug name, and diagnosis name."
DermTreatment,How many patients received a treatment involving 'DrugX'?
DermTreatment,List all drugs administered via 'Injection'.
DermTreatment,Find patients older than 65 years (calculate from date_of_birth).
DermTreatment,List all doctors and their medical school names.
DermTreatment,What is the speciality and board certification number (bd_cert_num) for doctor with doc_id 18?
DermTreatment,Find doctors located in 'New York City' (loc_city) with more than 10 years of registration (year_reg).
DermTreatment,"Retrieve patient details (first_name, last_name, email, phone) for patient_id 250."
DermTreatment,"List all male patients registered in 2022, along with their height and weight."
DermTreatment,Show patients with insurance policy number 'INS_POL_999'.
DermTreatment,"Retrieve all drugs, including their name, manufacturer, and type."
DermTreatment,"What is the mechanism of action (moa) and dosage information (dos_amt, dos_unit, dos_freq_hrs) for 'DrugAlpha'?"
DermTreatment,List drugs whose FDA approval date (fda_appr_dt) is after '2020-01-01'.
DermTreatment,"Find all diagnoses with their code, name, and description."
DermTreatment,Get the full description for diagnosis named 'Atopic Dermatitis'.
DermTreatment,"List all treatments, showing patient_id, doc_id, drug_id, diag_id, start_dt, and end_dt."
DermTreatment,"Show details for treatment_id 600, including the patient's full name, doctor's full name, drug name, and diagnosis name."
DermTreatment,"Which treatments involved patient 'Jane Smith' (first_name, last_name), and what were the start dates?"
DermTreatment,List all treatments where the drug 'Stellaris' (drug_name) was administered.
DermTreatment,What are the start and end dates for treatments associated with diagnosis code 'L40.0' (Psoriasis vulgaris)?
DermTreatment,"Retrieve all outcome records (all dayX_lesion_cnt, dayX_pasi_score, etc.) for treatment_id 820."
DermTreatment,Compare day7_tewl and day100_tewl for treatments involving 'DrugBeta'.
DermTreatment,"List all concomitant medications (med_name, start_dt, end_dt) for patients who received treatment_id 305."
DermTreatment,"Show adverse events (description, reported_dt) for treatments where the patient was female."
DermTreatment,Which doctors have prescribed 'DrugGamma' and for which diagnoses?
DermTreatment,"For each patient, count the number of adverse events they have reported."
DermTreatment,What is the average 'day30_itch_vas' score for patients treated with 'DrugDelta' compared to those on placebo for the same diagnosis?
DermTreatment,List patients who reported 'headache' as an adverse event and the drug they were taking.
DermTreatment,"Find doctors specializing in 'Dermatopathology' and list their locations (city, state)."
DermTreatment,Which treatments lasted longer than 90 days (calculated from start_dt and end_dt)?
DermTreatment,List all drugs that are administered 'Topically'.
Ewallet,List all users with their usernames and email addresses.
Ewallet,Find the user with uid 5001.
Ewallet,What is the phone number and country for the user with username 'testuser'?
Ewallet,Show all users whose KYC status is 'Pending'.
Ewallet,"Retrieve all transactions sent by user uid 5002, including amount and receiver_id."
Ewallet,"List all transactions received by user uid 5003, including amount and sender_id."
Ewallet,What is the current balance for user uid 5004 (latest from UserBalances)?
Ewallet,Show all 'critical' type notifications for user uid 5005 that are unread.
Ewallet,"List all user sessions for user uid 5006, including start and end times, and device type."
Ewallet,What were the transaction limits (daily and monthly) for user uid 5007 on '2023-09-01'?
Ewallet,List all merchants with their names and categories.
Ewallet,Find the merchant with mid 6001.
Ewallet,What is the website URL and contact email for the merchant named 'Global Goods'?
Ewallet,"Show all transactions received by merchant mid 6002, including amount and sender_id."
Ewallet,What is the current balance for merchant mid 6003 (latest from MerchantBalances)?
Ewallet,"List all active coupons (code, description, discount_value) offered by merchant mid 6004."
Ewallet,Find the coupon with code 'FREESHIP'.
Ewallet,"What is the discount type, value, start date, and end date for coupon cid 7001?"
Ewallet,"Show all transactions (txid, amount) where coupon cid 7002 was used."
Ewallet,Which users (usernames) made transactions with the merchant 'TechStore' (name)?
Ewallet,List merchants (names) that user 'johndoe123' (username) has sent transactions to.
Ewallet,"Show all users who have MFA enabled and marketing_opt_in as true, based on their latest setting snapshot."
Ewallet,What is the total amount transacted via the 'PayPal' gateway?
Ewallet,List all transactions of type 'PAYMENT' with a 'COMPLETED' status.
Ewallet,Find users who logged in using an 'iOS' device in the last 7 days.
Ewallet,Retrieve all coupons that are expiring in the next 30 days.
Ewallet,Which users have a membership_status of 3 (from UserSettingSnapshots)?
Ewallet,List all transactions made from IP address '192.168.1.100'.
Ewallet,"For transaction txid 8001, show the sender's username/merchant name and receiver's username/merchant name."
Ewallet,How many distinct users made a transaction in November 2023?
